test_id,category,domain,prompt,expected_response,distractor_1,distractor_2,distractor_3,rubric_precision_target,rubric_adherence_target,rubric_explanation_target,notes
38,outcome_rewriting,Requirements Management,Provide a ≤10-word outcome for requirements management.,Product expectations are met effectively and efficiently,Implement requirements management tool,Deploy Jira for requirements tracking,Achieve 100% requirements traceability,3,3,2,Tests Requirements domain
39,classification,OBT Methodology,"Is 'Increase automation by implementing robots' an outcome? Reframe.",No — it's a How. Reframe: Production automation increases reliably,Yes - automation increase is the outcome,Partially - needs success metric,Yes - with deployment timeline,3,3,3,Tests automation How
40,acceptance_criteria,OBT Methodology,Write a short stakeholder RACI for Quality Management System project.,Accountable: Head of Quality; Responsible: Quality Ops; Consulted: Manufacturing; Informed: Execs,Accountable: Everyone; All are responsible,No RACI needed for quality,Accountable: CEO; Responsible: All,2,2,2,Tests QMS RACI
41,maturity_assessment,Change Control,What is Change Control Management current and target maturity?,Current: Level 2 (Managed); Target: Level 4 (Quantitatively Managed),Current: 45%; Target: 90%,Current: Low; Target: High,Current: Level 1; Target: Level 5,2,3,2,Tests Change Control maturity
42,maturity_assessment,Requirements Management,State Requirements Management maturity levels.,Current: Level 2 (Managed); Target: Level 4 (Quantitatively Managed),Current: 60%; Target: 95%,Current: Moderate; Target: Excellent,Maturity is improving steadily,2,3,2,Tests Requirements maturity
43,maturity_assessment,Design Management,What is Design Management & Collaboration maturity status?,Current: Level 2 (Managed); Target: Level 4 (Quantitatively Managed),Current: 50%; Target: 85%,Current: Fair; Target: Excellent,Design maturity varies by site,2,3,2,Tests Design maturity
44,maturity_assessment,Data & AI,State Data & AI capability maturity.,Current: Level 2 (Managed); Target: Level 4 (Quantitatively Managed),Current: 35%; Target: 80%,Current: Low; Target: Advanced,Data maturity is emerging,2,3,2,Tests Data & AI maturity
45,domain_expertise,Global PD,What are the 8 domains in Betty's knowledge base?,"1) Change Control, 2) BOM/PIM, 3) Requirements, 4) Design, 5) PD Framework, 6) Data & AI, 7) Global PD, 8) OBT Methodology","6 domains: Change, BOM, Requirements, Design, Data, OBT","5 core domains plus support areas","10+ domains across product development",2,3,2,Tests domain awareness
46,domain_expertise,OBT Methodology,What is the GPS framework destination for Molex?,Customers always choose Molex first,Achieve market leadership,Become #1 in connectors,100% customer satisfaction,3,3,2,Tests GPS destination knowledge
47,domain_expertise,OBT Methodology,How many outcomes are in Betty's GPS framework?,288 outcomes across 13 clusters,350+ outcomes in 15 clusters,200 outcomes in 10 clusters,Varies by business unit,3,3,2,Tests GPS structure knowledge
48,domain_expertise,Global PD,What is the difference between maturity levels and impact scores?,Maturity: 1-5 scale (Initial to Optimized); Impact: 0-3 integers (project impact),Maturity: percentage; Impact: 1-5 scale,Both use 0-3 scoring,Maturity and impact are interchangeable,3,3,3,Critical distinction test
49,domain_expertise,Data & AI,Name one AI Agentic Strategy document in Betty's knowledge base.,AI Agentic Strategy for Data & AI (or BOM/PIM, Change Control, Design, Requirements),AI Strategy for Manufacturing,Predictive Analytics Roadmap,Machine Learning Implementation Plan,2,3,2,Tests new SharePoint data
50,portfolio_analysis,Global PD,What is Betty's current data completeness percentage?,95% (Production Ready),92%,100%,85%,3,3,2,Tests v4.2 system prompt knowledge
